appid,name,estimated_owners,price,dlc_count,windows,mac,linux,metacritic_score,user_score,achievements,recommendations,average_playtime_forever,average_playtime_two_weeks,median_playtime_forever,median_playtime_two_weeks,developers,publishers,genres,tags,single_player,release_year,players,popular_tags,recent_sentiment,recent_review_number,recent_positive_percentage,all_sentiment,all_review_number,all_positive_percentage,global_sales
310560,DiRT Rally,3500000.0,4.49,0,True,True,True,86,0,170,20153,651,65,168,87,"Codemasters,Feral Interactive (Linux),Feral Interactive (Mac)","Codemasters,Feral Interactive (Linux),Feral Interactive (Mac),Electronic Arts","Racing,Simulation,Sports","Racing,Simulation,Automobile Sim,Driving,Multiplayer,Offroad,Realistic,Difficult,Singleplayer,VR,Sports,First-Person,Action,Atmospheric,Fast-Paced,Co-op,Open World,3D Vision,TrackIR,Family Friendly",True,2015,single/multi,"Racing,Simulation,Driving,Offroad,Realistic,Multiplayer,Difficult,Singleplayer,VR,Sports,First-Person,Action,Early Access,Atmospheric,Fast-Paced,TrackIR,3D Vision,Co-op,Open World,Family Friendly",Mostly Positive,197.0,79.0,Very Positive,15046.0,88.0,0.59
245620,Tropico 5,1500000.0,19.99,13,True,False,True,75,0,70,9117,1297,418,555,418,Haemimont Games,Kalypso Media Digital,"RPG,Simulation,Strategy","Strategy,City Builder,Simulation,Sandbox,Multiplayer,Economy,Politics,Management,Singleplayer,Resource Management,Comedy,Co-op,RPG,Historical,Great Soundtrack,RTS,Funny,Atmospheric,Open World,Adventure",True,2014,single/multi,"Strategy,City Builder,Simulation,Sandbox,Multiplayer,Economy,Politics,Management,Singleplayer,Resource Management,Masterpiece,Comedy,Co-op,RPG,Historical,Great Soundtrack,RTS,Atmospheric,Open World,Funny",Mixed,42.0,64.0,Mostly Positive,7207.0,76.0,0.5
23530,Earth Defense Force: Insect Armageddon,75000.0,9.99,4,True,False,False,69,0,50,784,87,0,118,0,"Vicious Cycle Software, Inc.","D3Publisher of America, Inc.",Action,"Action,Third-Person Shooter,Co-op,Robots,Online Co-Op,Sci-fi,Singleplayer,Aliens,Third Person,Shooter,Multiplayer",True,2011,single/multi,"Action,Third-Person Shooter,Co-op,Robots,Online Co-Op,Sci-fi,Singleplayer,Third Person,Aliens,Shooter",,,,Very Positive,646.0,88.0,0.39
208670,Blades of Time,350000.0,9.99,1,True,True,False,63,0,35,585,218,0,148,0,Gaijin Entertainment Corporation,Gaijin Entertainment Corporation,"Action,Adventure","Action,Female Protagonist,Hack and Slash,Adventure,Third Person,Singleplayer,Fantasy,Spectacle fighter,Time Manipulation,RPG,Character Action Game,Nudity,Controller,Multiplayer,Anime,Beat 'em up,Difficult",True,2012,single/multi,"Action,Female Protagonist,Hack and Slash,Adventure,Third Person,Singleplayer,Fantasy,Spectacle fighter,Character Action Game,Time Manipulation,RPG,Nudity,Multiplayer,Controller,Anime",,,,Very Positive,345.0,86.0,0.2
427510,Way of the Samurai 3,75000.0,19.99,3,True,False,False,0,0,50,450,2179,0,3360,0,ACQUIRE Corp.,"Spike Chunsoft Co., Ltd.","Action,Adventure","Action,Open World,JRPG,Action RPG,Choose Your Own Adventure,RPG,Hack and Slash,Sandbox,Exploration,Character Customization,Third Person,Historical,Funny,Story Rich,Swordplay,Choices Matter,Multiple Endings,Ninja,Anime,Romance",True,2016,single,"Action,Character Customization,Adventure,Swordplay,Multiple Endings,Open World,Choices Matter,Singleplayer,RPG,Third Person,Sandbox,Replay Value,Action RPG,Hack and Slash,JRPG,Historical,Comedy,Funny,Anime",,,,Mostly Positive,257.0,77.0,0.73
275810,7 Wonders of the Ancient World,75000.0,6.99,0,True,False,False,0,0,0,0,263,0,263,0,MumboJumbo,MumboJumbo,"Casual,Strategy","Casual,Strategy,Puzzle,Match 3,Singleplayer",True,2014,single,"Casual,Strategy,Puzzle,Match 3,Singleplayer",,,,Mostly Positive,20.0,75.0,0.22
33530,Tropico Reloaded,350000.0,6.99,0,True,False,False,0,0,0,589,237,0,368,0,"PopTop Software,BreakAway Games,Frog City Software",Kalypso Media Digital,"Simulation,Strategy","Simulation,City Builder,Strategy,Management,Classic,Sandbox,Great Soundtrack,Comedy,Singleplayer,Pirates",True,2009,single,"Simulation,City Builder,Strategy,Management,Classic,Sandbox,Great Soundtrack,Comedy,Singleplayer,Pirates",,,,Very Positive,392.0,88.0,0.02
33520,Tropico Reloaded,350000.0,6.99,0,True,False,False,0,0,0,590,499,0,551,0,"PopTop Software,BreakAway Games,Frog City Software",Kalypso Media Digital,"Simulation,Strategy","Simulation,City Builder,Strategy,Management,Classic,Sandbox,Singleplayer,Pirates,Comedy,Great Soundtrack,Economy,RTS",True,2009,single,"Simulation,City Builder,Strategy,Management,Classic,Sandbox,Great Soundtrack,Comedy,Singleplayer,Pirates",,,,Very Positive,392.0,88.0,0.02
387340,Hyperdimension Neptunia U: Action Unleashed,350000.0,14.99,2,True,False,False,0,0,35,2458,576,0,524,0,"Idea Factory,Compile Heart,Tamsoft",Idea Factory International,"Action,RPG","Anime,Female Protagonist,Hack and Slash,Action,JRPG,RPG,Nudity,Cute,Singleplayer,Beat 'em up,Comedy,Mature,Funny,Visual Novel,Sexual Content,Great Soundtrack,Memes,Adventure,Story Rich,Casual",True,2016,single,"Anime,Female Protagonist,Hack and Slash,Action,JRPG,Cute,Nudity,RPG,Singleplayer,Beat 'em up,Mature,Comedy,Funny,Visual Novel,Sexual Content,Memes,Great Soundtrack,Adventure,Story Rich,Casual",Very Positive,20.0,95.0,Very Positive,2225.0,92.0,0.12
8000,Tomb Raider: Anniversary,750000.0,8.99,0,True,False,False,83,0,0,4542,360,0,264,0,Crystal Dynamics,Square Enix,"Action,Adventure","Action,Adventure,Female Protagonist,Puzzle,Third Person,Platformer,Remake,Singleplayer,Classic,Action-Adventure,Dinosaurs,Third-Person Shooter,Exploration,Parkour,Shooter,3D Platformer,Story Rich,Multiplayer,Atmospheric,3D Vision",True,2007,single,"Action,Adventure,Female Protagonist,Third Person,Puzzle,Lara Croft,Platformer,Remake,Singleplayer,Classic,Action-Adventure,Dinosaurs,Third-Person Shooter,Parkour,Exploration,Shooter,Masterpiece,3D Vision,Multiplayer,3D Platformer",Very Positive,31.0,83.0,Very Positive,2073.0,82.0,2.34
