appid,name,estimated_owners,price,dlc_count,windows,mac,linux,metacritic_score,user_score,achievements,recommendations,average_playtime_forever,average_playtime_two_weeks,median_playtime_forever,median_playtime_two_weeks,developers,publishers,genres,tags,single_player,release_year,players,popular_tags,recent_sentiment,recent_review_number,recent_positive_percentage,all_sentiment,all_review_number,all_positive_percentage,global_sales
65800,Dungeon Defenders,3500000.0,14.99,25,True,True,True,81,0,118,9690,2538,0,543,0,Trendy Entertainment,Trendy Entertainment,"Action,Indie,RPG,Strategy","Multiplayer,Online Co-Op,Tower Defense,Singleplayer,Strategy,Survival,Action RPG,Character Customization,Family Friendly,Funny,Tactical,Building,Fantasy,PvE,Strategy RPG,Moddable,RPG,3D,Third Person,Team-Based",True,2011,single/multi,"Tower Defense,RPG,Co-op,Strategy,Online Co-Op,Multiplayer,Action,Fantasy,Indie,Third Person,Local Co-Op,Singleplayer,Local Multiplayer,4 Player Local,Split Screen,Action RPG,Loot,Hack and Slash,Addictive,Third-Person Shooter",Very Positive,17.0,88.0,Very Positive,7017.0,92.0,0.02
257510,The Talos Principle,1500000.0,29.99,5,True,True,True,85,0,40,22704,669,0,237,0,Croteam,"Devolver Digital,Croteam","Action,Adventure,Indie","Puzzle,Philosophical,First-Person,Sci-fi,Atmospheric,Story Rich,Singleplayer,Great Soundtrack,Robots,Adventure,Exploration,Indie,Open World,Multiple Endings,Difficult,Mystery,Post-apocalyptic,Action,Simulation,Science",True,2014,single,"Puzzle,First-Person,Sci-fi,Atmospheric,Story Rich,Philisophical,Singleplayer,Great Soundtrack,Robots,Adventure,Exploration,Open World,Indie,Difficult,Multiple Endings,Post-apocalyptic,Action,Mystery,Simulation,Masterpiece",Very Positive,103.0,88.0,Overwhelmingly Positive,15953.0,95.0,0.04
224920,Legacy of Kain: Soul Reaver,750000.0,0.0,0,True,False,False,0,0,0,1423,267,0,375,0,Crystal Dynamics,Square Enix,"Action,Adventure","Adventure,Action,Vampire,Classic,Story Rich,Dark Fantasy,Third Person,Gothic,Puzzle,Atmospheric,Singleplayer,Action-Adventure,Great Soundtrack,Fantasy,Dark,Metroidvania,Retro,Horror,Hack and Slash,1990's",True,1999,single,"Adventure,Action,Vampire,Classic,Story Rich,Masterpiece,Dark Fantasy,Third Person,Gothic,Puzzle,Atmospheric,Great Soundtrack,Singleplayer,Action-Adventure,Fantasy,Retro,Horror,Dark,Metroidvania",Mixed,10.0,60.0,Mostly Positive,920.0,72.0,2.08
113400,APB Reloaded,3500000.0,0.0,0,True,False,False,0,0,60,380,4566,833,201,1085,Reloaded Productions,Little Orbit,"Action,Free to Play,Massively Multiplayer","Free to Play,Open World,Action,Multiplayer,Character Customization,Massively Multiplayer,Shooter,Third-Person Shooter,PvP,Crime,Third Person,Co-op,Racing,Sandbox,FPS,Adventure,Singleplayer,Nudity,Hacking,Anime",False,2011,multi,"Free to Play,Open World,Action,Character Customization,Multiplayer,Massively Multiplayer,Shooter,Third-Person Shooter,PvP,Crime,Third Person,Co-op,Racing,Sandbox,FPS,Adventure,Singleplayer,Nudity,Hacking,Anime",Mixed,170.0,58.0,Mixed,31966.0,62.0,0.04
42910,Magicka,3500000.0,9.99,24,True,False,False,74,0,88,16661,552,0,269,0,Arrowhead Game Studios,Paradox Interactive,"Action,RPG","Comedy,Co-op,Action,Fantasy,Online Co-Op,RPG,Magic,Multiplayer,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Team-Based,Action RPG,Arcade,Strategy",True,2011,single/multi,"Comedy,Co-op,Action,Fantasy,Online Co-Op,Multiplayer,RPG,Magic,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Masterpiece,Team-Based,Action RPG,Arcade",Mixed,70.0,52.0,Very Positive,13288.0,90.0,0.03
247430,Hitman: Contracts,750000.0,8.99,0,True,False,False,0,0,0,1751,141,0,101,0,Io-Interactive A/S,Io-Interactive A/S,Action,"Stealth,Action,Assassin,Singleplayer,Third Person,Great Soundtrack,Atmospheric,Classic,Dark,Shooter,Difficult,Puzzle,First-Person,Crime,Sandbox,Third-Person Shooter,Open World,Horror,Gore,FPS",True,2014,single,"Stealth,Action,Assassin,Singleplayer,Third Person,Great Soundtrack,Atmospheric,Classic,Dark,Shooter,Difficult,Puzzle,First-Person,Open World,Third-Person Shooter",Very Positive,22.0,81.0,Very Positive,1014.0,82.0,1.48
39160,Dungeon Siege III,350000.0,14.99,1,True,False,False,72,0,54,1669,430,6,133,6,Obsidian Entertainment,Square Enix,"Action,RPG","RPG,Action,Fantasy,Co-op,Action RPG,Dungeon Crawler,Local Co-Op,Singleplayer,Female Protagonist,Adventure,Loot",True,2011,single/multi,"RPG,Action,Fantasy,Action RPG,Co-op,Dungeon Crawler,Singleplayer,Local Co-Op,Female Protagonist,Adventure",Mixed,10.0,60.0,Mixed,1144.0,57.0,0.93
543460,Dead Rising 4,350000.0,29.99,9,True,False,False,74,0,104,3126,422,0,415,0,"Capcom Game Studio Vancouver, Inc.",Capcom,Action,"Zombies,Action,Open World,Multiplayer,Co-op,Violent,Survival,Gore,Comedy,Horror,Third Person,Funny,Heist,Nudity,Online Co-Op,Memes,Singleplayer,Survival Horror,Casual,Sandbox",True,2017,single/multi,"Zombies,Action,Open World,Violent,Gore,Multiplayer,Comedy,Survival,Co-op,Horror,Third Person,Heist,Funny,Memes,Nudity,Casual,Online Co-Op,Survival Horror,Singleplayer,Anime",Mostly Negative,18.0,33.0,Mixed,1256.0,48.0,0.31
32670,Delta Force: Black Hawk Down,150000.0,14.99,0,True,False,False,77,0,0,555,0,0,0,0,NovaLogic,"NovaLogic,THQ Nordic",Action,"Action,FPS,Military,Shooter,First-Person,Multiplayer,Classic,Singleplayer,War",True,2009,single/multi,"Action,Military,FPS,Multiplayer,Classic,War,Shooter,Singleplayer",,,,Very Positive,266.0,91.0,1.14
630630,Apex,10000.0,2.99,0,True,False,False,0,0,0,0,0,0,0,0,"Arjan van Meerten,House of Secrets","Wevr, Inc","Casual,Indie","Casual,Indie,VR",False,2017,NA,"Casual,Indie,VR",,,,Positive,26.0,80.0,0.28
6220,FlatOut,350000.0,7.49,0,True,False,False,72,0,0,3380,691,0,63,0,Bugbear Entertainment,Strategy First,Racing,"Combat Racing,Racing,Automobile Sim,Destruction,Driving,Multiplayer,Classic,Arcade,Singleplayer,Great Soundtrack,Action,Funny,Vehicular Combat,Physics,Offroad,Difficult,Comedy",True,2007,single/multi,"Racing,Destruction,Driving,Multiplayer,Classic,Arcade,Singleplayer,Action,Great Soundtrack,Funny,Masterpiece,Physics,Difficult",Very Positive,38.0,100.0,Very Positive,1914.0,91.0,0.73
322630,Mind Zero,10000.0,19.99,0,True,False,False,0,0,36,0,46,0,46,0,"Acquire,Zerodiv",Aksys Games,RPG,"RPG,JRPG,Dungeon Crawler,Anime,Visual Novel",True,2016,single,"RPG,JRPG,Dungeon Crawler,Anime,Visual Novel",,,,Mixed,57.0,45.0,0.11
23460,Ceville,35000.0,0.51,0,True,False,False,73,0,0,126,248,0,481,0,Realmforge Studios,Assemble Entertainment,"Action,Adventure,Strategy","Adventure,Point & Click,Strategy,Action,Comedy,Villain Protagonist,Singleplayer,Fantasy,Casual,Puzzle,Funny",True,2009,single,"Adventure,Point & Click,Strategy,Action,Comedy,Villain Protagonist,Singleplayer",,,,Very Positive,85.0,81.0,0.02
21100,F.E.A.R. 3,1500000.0,19.99,0,True,False,False,74,0,50,5192,264,0,150,0,Day 1 Studios,Warner Bros. Interactive Entertainment,Action,"FPS,Horror,Co-op,Action,Multiplayer,Shooter,Singleplayer,Gore,First-Person,Online Co-Op,Bullet Time,Sci-fi,Adventure,Zombies,Story Rich,Atmospheric,Co-op Campaign,Mechs,Controller,Short",True,2011,single/multi,"FPS,Horror,Co-op,Action,Multiplayer,Shooter,Singleplayer,First-Person,Gore,Online Co-Op,Bullet Time,Sci-fi,Adventure,Zombies,Story Rich,Atmospheric,Mechs,Co-op Campaign,Masterpiece,Controller",Mixed,20.0,55.0,Mostly Positive,3289.0,71.0,1.05
505170,Carmageddon: Max Damage,350000.0,16.99,0,True,False,False,0,0,30,2067,190,0,263,0,Stainless Games Ltd,THQ Nordic,Action,"Combat Racing,Gore,Action,Racing,Vehicular Combat,Automobile Sim,Multiplayer,Funny,Destruction,Driving,Comedy,Violent,Open World,Singleplayer,Arcade,Memes",True,2016,single/multi,"Gore,Action,Racing,Multiplayer,Funny,Destruction,Driving,Comedy,Open World,Violent",Mixed,14.0,42.0,Mostly Positive,1279.0,76.0,0.05
211207,The Revenge of Shinobi,0.0,0.99,0,True,True,True,0,0,0,0,0,0,0,0,,SEGA,,,True,2012,single,"Ninja,Platformer,Retro",,,,,,,0.09
211160,Viking: Battle for Asgard,750000.0,14.99,0,True,False,False,0,0,50,821,55,0,16,0,"Creative Assembly, PC Port - Hardlight",SEGA,"Action,Adventure","Action,Adventure,Hack and Slash,Vikings,Singleplayer,Third Person,Fantasy,Open World,Strategy,Mythology,Controller,RPG,Gore,Action RPG,Co-op",True,2012,single,"Action,Adventure,Hack and Slash,Singleplayer,Third Person,Fantasy,Open World,Strategy,Mythology,Controller,RPG,Gore,Action RPG",,,,Mixed,715.0,52.0,0.8200000000000001
238090,Sniper Elite 3,3500000.0,29.99,13,True,False,False,0,0,77,17025,796,0,268,0,Rebellion,Rebellion,"Action,Adventure","Sniper,Action,Stealth,Multiplayer,World War II,Co-op,Shooter,Adventure,Third-Person Shooter,Tactical,War,Third Person,Singleplayer,Online Co-Op,Open World,Gore,Strategy,FPS,Atmospheric,Simulation",True,2014,single/multi,"Sniper,Action,Stealth,World War II,Multiplayer,Shooter,Co-op,Adventure,Third-Person Shooter,Tactical,War,Third Person,Online Co-Op,Singleplayer,Open World,Gore,Strategy,FPS,Atmospheric,Simulation",Mostly Positive,67.0,77.0,Mostly Positive,11265.0,78.0,1.66
24790,Command & Conquer 3: Tiberium Wars,750000.0,14.99,0,True,False,False,85,0,0,5416,571,125,294,125,EA Los Angeles,Electronic Arts,Strategy,"Strategy,RTS,Base-Building,Sci-fi,Multiplayer,Singleplayer,Action,FMV,Classic,Atmospheric,Post-apocalyptic,Story Rich,War,Great Soundtrack,Futuristic",True,2009,single,"Strategy,RTS,Base Building,Sci-fi,Multiplayer,Singleplayer,Action,FMV,Masterpiece,Atmospheric,Classic,Post-apocalyptic",Very Positive,19.0,94.0,Very Positive,2385.0,88.0,0.49
277460,Praetorians,150000.0,4.99,0,True,False,False,78,0,0,489,90,0,111,0,Pyro Studios,Kalypso Media Digital,"Indie,Strategy","Strategy,Rome,RTS,Classic,Historical,Indie,War,Multiplayer,Singleplayer",True,2014,single/multi,"Strategy,Rome,RTS,Classic,Historical,Indie,War,Masterpiece",,,,Mostly Positive,364.0,77.0,0.04
310950,Street Fighter V,3500000.0,19.99,17,True,False,False,89,0,45,23354,2735,494,367,709,Capcom,Capcom,Action,"Fighting,Action,2D Fighter,Multiplayer,Competitive,Arcade,Local Multiplayer,e-sports,Anime,2.5D,Controller,Singleplayer,Great Soundtrack,Classic,2D,Nudity,Female Protagonist,Early Access,Memes,Funny",True,2016,single/multi,"Fighting,Multiplayer,2D Fighter,Competitive,Arcade,Action,Local Multiplayer,e-sports,2.5D,Anime,Great Soundtrack,Controller,Singleplayer,Early Access,Classic,2D,Female Protagonist,Nudity,Memes,Funny",Mixed,97.0,50.0,Mixed,9007.0,52.0,1.0
466920,Mugen Souls Z,10000.0,19.99,12,True,False,False,0,0,50,0,0,0,0,0,Idea Factory,Ghostlight LTD,"Adventure,RPG,Strategy","JRPG,Tactical RPG,Visual Novel,Turn-Based,Strategy RPG,Female Protagonist,RPG,Strategy,Party-Based RPG,Funny,Mechs,Romance,Multiple Endings,Cute,Turn-Based Combat,Story Rich,Action,Anime,Colorful,Fantasy",True,2016,single,"RPG,Adventure,Strategy,Anime,JRPG,Nudity,Turn-Based,Singleplayer,Fantasy,Female Protagonist,Cute,Mature",,,,Mostly Positive,50.0,76.0,0.07
978970,God Hand,10000.0,0.0,0,True,False,False,0,0,0,0,0,0,0,0,3D FACTORY,3D FACTORY,"Action,Free to Play,Simulation","Free to Play,Simulation,Action,VR",True,2019,single,"Free to Play,Simulation,Action,VR",,,,Positive,15.0,93.0,0.07
254460,Obscure,150000.0,6.99,0,True,False,False,63,0,19,1518,220,0,243,0,Hydravision Entertainment,Mighty Rocket Studio,"Action,Adventure","Horror,Survival Horror,Local Co-Op,Action,Adventure,Co-op,Third Person,Classic,Atmospheric,Singleplayer,Survival,Gore,Great Soundtrack,Zombies,Multiplayer,Female Protagonist,Co-op Campaign",True,2014,single/multi,"Horror,Survival Horror,Action,Local Co-Op,Adventure,Third Person,Co-op,Survival,Singleplayer,Atmospheric,Classic,Masterpiece,Gore,Great Soundtrack,Female Protagonist,Zombies,Multiplayer",Very Positive,14.0,100.0,Very Positive,697.0,92.0,0.15
778390,Corpse Party: Book of Shadows,35000.0,14.99,0,True,False,False,0,0,33,296,160,0,160,0,"MAGES. Inc.,5pb.","XSEED Games,Marvelous USA, Inc.",Adventure,"Horror,Gore,Violent,Visual Novel,Anime,Adventure,RPGMaker,Point & Click,Pixel Graphics,Dark,Psychological Horror,Story Rich,JRPG,RPG,Singleplayer,Survival Horror,Indie,Choices Matter,Multiple Endings,Puzzle",True,2018,single,"Gore,Violent,Adventure,Horror,Nudity,Visual Novel,Anime,Point & Click",,,,Very Positive,95.0,95.0,0.04
45700,Devil May Cry 4,350000.0,19.99,0,True,False,False,78,0,0,1643,445,0,211,0,Capcom,Capcom,"Action,Adventure","Action,Hack and Slash,Character Action Game,Adventure,Great Soundtrack,Stylized,Spectacle fighter,Singleplayer,Third Person,Beat 'em up,Controller,Difficult,Demons,Fantasy,Atmospheric,Story Rich,RPG",True,2009,single,"Action,Hack and Slash,Character Action Game,Great Soundtrack,Adventure,Stylized,Singleplayer,Spectacle fighter,Third Person,Beat 'em up,Masterpiece,Difficult,Controller,Demons,Fantasy,RPG,Atmospheric,Story Rich,Horror",,,,Very Positive,1428.0,91.0,3.0500000000000003
279140,Making History: The Great War,35000.0,29.99,1,True,True,True,0,0,1,372,641,0,646,0,"Muzzy Lane Software,Factus Games",Factus Games,"Indie,Simulation,Strategy","Strategy,Simulation,World War I,Grand Strategy,Indie,Historical,War,Turn-Based Strategy,Moddable,Sandbox,Military,Multiplayer,Singleplayer,Replay Value,World War II,Alternate History,Tactical,Turn-Based,Management,4X",True,2015,single/multi,"Strategy,World War I,Grand Strategy,Simulation,Historical,War,Indie,Turn-Based Strategy,Moddable,Sandbox,Military,Singleplayer,Multiplayer,Open World,Replay Value,Education,World War II",,,,Mostly Positive,307.0,74.0,0.27
47810,Dragon Age: Origins - Ultimate Edition,1500000.0,29.99,0,True,False,False,91,0,0,16519,2369,101,776,101,BioWare,Electronic Arts,RPG,"RPG,Fantasy,Story Rich,Choices Matter,Singleplayer,Party-Based RPG,Real-Time with Pause,Mature,Character Customization,Adventure,Multiple Endings,Well-Written,Strategy,Dark Fantasy,Dragons,Female Protagonist,Classic,Open World,Tactical,Moddable",True,2010,single,"RPG,Fantasy,Story Rich,Singleplayer,Choices Matter,Party-Based RPG,Real-Time with Pause,Mature,Character Customization,Adventure,Strategy,Multiple Endings,Dark Fantasy,Female Protagonist,Dragons,Classic,Masterpiece,Open World,Tactical,Moddable",Mostly Positive,48.0,77.0,Very Positive,8768.0,91.0,0.14
211206,Streets of Rage 3,0.0,0.99,0,True,True,True,0,0,0,0,0,0,0,0,,SEGA,Action,,True,2012,single/multi,"Action,Beat 'em up,Arcade,2D",,,,,,,0.07
240,Counter-Strike: Source,15000000.0,9.99,0,True,True,True,88,0,147,92195,9171,1329,373,53,Valve,Valve,Action,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Singleplayer,Difficult,Atmospheric,Survival,Simulation,Sandbox",False,2004,multi,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox",Very Positive,439.0,94.0,Overwhelmingly Positive,45829.0,95.0,0.08
8870,BioShock Infinite,7500000.0,29.99,5,True,True,True,94,0,80,93311,719,251,512,251,"Irrational Games,Virtual Programming (Linux)",2K,Action,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Shooter,First-Person,Beautiful,Alternate History,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG,Immersive",True,2013,single,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG",Very Positive,601.0,93.0,Overwhelmingly Positive,59252.0,95.0,4.29
337000,Deus Ex: Mankind Divided,3500000.0,29.99,5,True,True,True,83,0,81,26259,787,0,293,0,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)","Square Enix,Feral Interactive (Linux),Feral Interactive (Mac)","Action,RPG","Cyberpunk,Stealth,RPG,Sci-fi,Action,Story Rich,Atmospheric,Singleplayer,Futuristic,Illuminati,First-Person,FPS,Great Soundtrack,Shooter,Open World,Conspiracy,Immersive Sim,Dystopian,Transhumanism,Adventure",True,2016,single,"Cyberpunk,Stealth,Sci-fi,Action,RPG,Story Rich,Atmospheric,Illuminati,Futuristic,Singleplayer,FPS,First-Person,Great Soundtrack,Shooter,Conspiracy,Open World,Dystopian,Transhumanism,Adventure,Third Person",Mostly Positive,120.0,72.0,Mixed,15270.0,68.0,0.79
95900,Air Conflicts: Secret Wars,150000.0,5.99,0,True,False,False,65,0,12,241,2173,0,2173,0,"Games Farm,3Division",Games Farm,"Action,Simulation","Simulation,Action,Flight,World War II,Arcade,Singleplayer,Multiplayer",True,2011,single/multi,"Simulation,Action,Flight,World War II,Arcade,Singleplayer,Multiplayer",,,,Mixed,162.0,61.0,0.3
113200,The Binding of Isaac,3500000.0,4.99,1,True,True,False,84,0,99,41402,1288,325,306,600,"Edmund McMillen,Florian Himsl",Edmund McMillen,"Action,Adventure,Indie,RPG","Action Roguelike,Rogue-like,Indie,Replay Value,Difficult,Procedural Generation,Dark,Action,Top-Down,Great Soundtrack,Addictive,Singleplayer,Adventure,Rogue-lite,2D,Dungeon Crawler,Survival,RPG,Perma Death,Bullet Hell",True,2011,single,"Rogue-like,Indie,Replay Value,Difficult,Procedural Generation,Dark,Action,Top-Down,Great Soundtrack,Addictive,Singleplayer,Adventure,Rogue-lite,Survival,RPG,2D,Dungeon Crawler,Perma Death,Bullet Hell,Masterpiece",Very Positive,109.0,89.0,Overwhelmingly Positive,33405.0,95.0,0.03
588880,Crush,10000.0,11.99,0,True,False,False,0,0,7,0,0,0,0,0,VIS-Games,SilentFuture,"Action,Indie","Action,Indie,Shoot 'Em Up",True,2017,single,"Action,Indie,Shoot 'Em Up",,,,Positive,11.0,90.0,0.08
4720,Condemned: Criminal Origins,350000.0,14.95,0,True,False,False,78,0,0,1814,200,0,164,0,Monolith,SEGA,Action,"Horror,Action,First-Person,Atmospheric,Survival Horror,Psychological Horror,Crime,Singleplayer,FPS,Gore,Difficult,Detective,Dark,Classic,Mystery,Survival,Story Rich,Thriller,Shooter,Beat 'em up",True,2012,single,"Horror,Action,Atmospheric,First-Person,Survival Horror,Crime,Psychological Horror,FPS,Singleplayer,Difficult,Gore,Dark,Classic,Mystery,Detective,Survival,Story Rich,Shooter,Thriller,Beat 'em up",,,,Very Positive,730.0,85.0,0.41
22100,Mount & Blade,750000.0,9.99,0,True,False,False,72,0,0,4407,906,0,213,0,TaleWorlds Entertainment,TaleWorlds Entertainment,"Indie,RPG","RPG,Medieval,Open World,Strategy,Sandbox,Action,Singleplayer,Adventure,Third Person,Multiplayer,Indie,Historical,Moddable,Action RPG,Character Customization,First-Person,Simulation,Replay Value,Fantasy,Female Protagonist",True,2008,single,"RPG,Medieval,Open World,Strategy,Sandbox,Action,Singleplayer,Adventure,Third Person,Multiplayer,Historical,Moddable,Action RPG,Indie,Character Customization,First-Person,Simulation,Replay Value,Masterpiece,Fantasy",Very Positive,26.0,80.0,Very Positive,2857.0,91.0,0.02
46480,Still Life,150000.0,0.79,0,True,False,False,75,0,0,665,337,0,337,0,Microids,Microids,Adventure,"Adventure,Point & Click,Mystery,Female Protagonist,Crime,Detective,Puzzle,Singleplayer,Horror,Noir,Escape Room,Thriller,Investigation,Story Rich,Atmospheric,Nudity",True,2011,single,"Adventure,Point & Click,Mystery,Female Protagonist,Crime,Detective,Puzzle,Singleplayer,Horror,Noir,Atmospheric,Thriller,Investigation,Masterpiece",,,,Very Positive,428.0,80.0,0.14
16020,Samantha Swift and the Hidden Roses of Athena,35000.0,9.99,0,True,False,False,0,0,0,0,0,0,0,0,MumboJumbo,MumboJumbo,Casual,"Casual,Hidden Object,Adventure,Female Protagonist,Point & Click,Puzzle",True,2008,single,"Casual,Hidden Object,Adventure,Female Protagonist,Point & Click",,,,Mixed,11.0,45.0,0.05
215160,The Book of Unwritten Tales,350000.0,19.99,1,True,True,True,82,0,0,1362,452,0,464,0,KING Art,THQ Nordic,Adventure,"Adventure,Point & Click,Comedy,Singleplayer,Fantasy,Puzzle,Classic,Retro,Great Soundtrack,Funny,Cult Classic,Story Rich,1990's,Escape Room,Indie",True,2012,single,"Adventure,Point & Click,Fantasy,Comedy,Singleplayer,Puzzle,Funny,Story Rich,Great Soundtrack,Female Protagonist,Casual,Classic,Hidden Object",,,,Very Positive,1078.0,89.0,0.1
587260,Tokyo Xanadu eX+,75000.0,59.99,3,True,False,False,0,0,55,1097,3546,0,6611,0,Nihon Falcom,Aksys Games,RPG,"JRPG,RPG,Action RPG,Anime,Great Soundtrack,Singleplayer,Story Rich,Action,Hack and Slash,Sexual Content",True,2017,single,"JRPG,RPG,Action RPG,Anime,Great Soundtrack,Singleplayer,Story Rich,Action,Hack and Slash",Very Positive,23.0,86.0,Very Positive,417.0,88.0,0.04
21670,Bionic Commando,350000.0,9.99,0,True,False,False,69,0,0,1043,148,0,267,0,Capcom,Capcom,"Action,Adventure","Action,Adventure,Third Person,Singleplayer,Great Soundtrack,Third-Person Shooter,Multiplayer,Shooter,Open World,Reboot",True,2009,single/multi,"Action,Adventure,Third Person,Singleplayer,Great Soundtrack,Multiplayer,Third-Person Shooter,Shooter,Masterpiece",,,,Mostly Positive,711.0,74.0,0.64
200010,Quantum Conundrum,350000.0,8.99,3,True,False,False,77,0,25,1518,224,0,263,0,Airtight Games,Square Enix,"Casual,Strategy","Puzzle-Platformer,Puzzle,3D Platformer,First-Person,Physics,Comedy,Casual,Platformer,Strategy,Singleplayer,Time Manipulation,Science,Cartoony,Family Friendly,Adventure,Sci-fi,Funny,Difficult,Controller",True,2012,single,"Puzzle,First-Person,Comedy,Physics,Platformer,Casual,Singleplayer,Strategy,Time Manipulation,Cartoony,Science,Family Friendly,Adventure,Sci-fi,Funny,Controller",,,,Very Positive,1150.0,83.0,0.01
16730,Legendary,350000.0,4.99,0,True,False,False,50,0,0,1889,123,0,177,0,Spark Unlimited,SouthPeak Games,Action,"Action,FPS,Shooter,First-Person,Horror,Singleplayer,Multiplayer,Atmospheric,Mythology,Werewolves,Gore",True,2008,single,"Action,FPS,Shooter,First-Person,Horror,Masterpiece,Multiplayer,Singleplayer,Atmospheric,Mythology,Werewolves,Gore",Mixed,13.0,61.0,Mixed,1649.0,53.0,0.41
220440,DmC: Devil May Cry,1500000.0,29.99,4,True,False,False,85,0,58,14830,1123,159,360,159,Ninja Theory,Capcom,"Action,Adventure","Action,Hack and Slash,Great Soundtrack,Spectacle fighter,Demons,Adventure,Third Person,Singleplayer,Character Action Game,Reboot,Controller,Gore,Stylized,Beat 'em up,Atmospheric,Fast-Paced,Comedy,Fantasy,Story Rich,Platformer",True,2013,single,"Action,Hack and Slash,Great Soundtrack,Spectacle fighter,Demons,Adventure,Third Person,Singleplayer,Character Action Game,Controller,Gore,Stylized,Atmospheric,Beat 'em up,Fast-Paced,Masterpiece,Comedy,Fantasy,Story Rich,Platformer",Very Positive,108.0,91.0,Very Positive,9240.0,94.0,1.6800000000000002
203160,Tomb Raider,7500000.0,14.99,21,True,True,False,86,0,50,130347,718,115,420,118,"Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Nixxes","Square Enix,Feral Interactive (Mac)","Action,Adventure","Adventure,Action,Female Protagonist,Third Person,Singleplayer,Story Rich,Third-Person Shooter,Multiplayer,Exploration,Quick-Time Events,Action-Adventure,Atmospheric,Shooter,Puzzle,Stealth,Cinematic,Platformer,RPG,Reboot,3D Vision",True,2013,single/multi,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Singleplayer,Third-Person Shooter,Story Rich,Exploration,Multiplayer,Quick-Time Events,Atmospheric,Action-Adventure,Shooter,Stealth,Puzzle,Cinematic,Platformer,Masterpiece,RPG",Very Positive,413.0,93.0,Overwhelmingly Positive,76537.0,95.0,5.66
65930,The Bureau: XCOM Declassified,3500000.0,19.99,3,True,True,False,66,0,41,4436,310,0,178,0,2K Marin,2K,Action,"Action,Tactical,Sci-fi,Third-Person Shooter,Singleplayer,Third Person,Aliens,Strategy,Shooter,RPG,Adventure,Atmospheric,Cold War,Story Rich,Multiplayer,Open World,Noir,Stealth,Retro,War",True,2013,single,"Action,Sci-fi,Tactical,Third-Person Shooter,Singleplayer,Third Person,Aliens,Strategy,Shooter,RPG,Adventure,Atmospheric,Cold War,Multiplayer,Story Rich,Open World,Masterpiece,Stealth,Noir,Co-op",,,,Mixed,3855.0,66.0,0.51
474960,Quantum Break,1500000.0,39.99,1,True,False,False,66,0,42,16726,410,0,375,0,Remedy Entertainment,Xbox Game Studios,Action,"Action,Story Rich,Time Manipulation,Sci-fi,Singleplayer,Third Person,Cinematic,Third-Person Shooter,Atmospheric,Choices Matter,Time Travel,Episodic,Adventure,Shooter,Bullet Time,Great Soundtrack,Controller,Open World,FMV,Stealth",True,2016,single,"Action,Story Rich,Time Manipulation,Sci-fi,Singleplayer,Cinematic,Third Person,Third-Person Shooter,Atmospheric,Adventure,Episodic,Choices Matter,Shooter,Time Travel,Bullet Time,Great Soundtrack,Open World,Controller,Masterpiece,Stealth",Very Positive,77.0,80.0,Very Positive,8842.0,84.0,0.66
268050,The Evil Within,1500000.0,19.99,4,True,False,False,68,0,71,14148,558,0,243,0,Tango Gameworks,Bethesda Softworks,Action,"Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Difficult,Third-Person Shooter,Cinematic,Shooter,Story Rich,Open World,Multiplayer",True,2014,single,"Horror,Survival Horror,Psychological Horror,Gore,Atmospheric,Action,Singleplayer,Third Person,Survival,Zombies,Dark,Stealth,Adventure,Third-Person Shooter,Difficult,Cinematic,Shooter,Story Rich,Masterpiece,Walking Simulator",Mostly Positive,51.0,76.0,Very Positive,7855.0,80.0,4.0600000000000005
204100,Max Payne 3,1500000.0,6.99,0,True,False,False,87,0,67,34672,928,7,550,7,Rockstar Studios,Rockstar Games,Action,"Action,Third-Person Shooter,Bullet Time,Story Rich,Multiplayer,Shooter,Cinematic,Third Person,Noir,Singleplayer,Great Soundtrack,Atmospheric,Violent,Nudity,Adventure,Linear,Dark,Drama,Open World,Co-op",True,2012,single/multi,"Action,Third-Person Shooter,Bullet Time,Story Rich,Multiplayer,Cinematic,Shooter,Third Person,Noir,Singleplayer,Great Soundtrack,Atmospheric,Masterpiece,Violent,Adventure,Nudity,Linear,Dark,Drama,3D Vision",Mostly Positive,82.0,75.0,Very Positive,20797.0,82.0,3.9
